filename,data
img_1501.jpg,APRL_003,Women's Embroidered Punjabi Suit,traditional,Adults,M,Art Silk Blend,Mid-High Range,Ethnic Set,"Embroidered, Smooth fabric, Floral print (dupatta)",Female,Maroon,Full sleeves,"festive, party, wedding, cultural","hourglass, pear, rectangle, inverted triangle","oval, round, square, heart","ebony, dark, tan, olive, fair, light","warm, neutral"
img_1502.jpg,APRL_003,Anarkali Gown,traditional,,Adults,L,Georgette Blend,Mid-Range,Full outfit,"Smooth fabric, Floral print, Embellished, Pleated",Female,"Magenta, Pink, Gold",Full sleeves,"wedding, party, festive, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, heart","tan, olive, fair, light, dark","neutral, cool"
img_1503.jpg,APRL_001,Embroidered Anarkali Palazzo Suit Set,Traditional,N/A,Adults,L,Georgette,Mid-Range,"Suit Set (Top wear & Bottom wear)","Smooth fabric, Intricate embroidery, Flowy",Female,"Teal Green, Off-White","Full sleeves, Bell sleeves","festive, party, wedding, formal, traditional, celebrations","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart","dark, tan, olive, fair, light","cool, neutral"
img_1504.jpg,APRL_001,Embroidered Kaftan Dress,traditional,,Adults,Free Size,Chiffon,Mid-Range,Dress,"Smooth fabric, Beaded, Embroidered",Female,Red,Wide sleeves,"party, wedding, festive, evening wear","hourglass, pear, apple, inverted triangle, rectangle","oval, round, heart","fair, light, tan, olive","warm, neutral, cool"
img_1505.jpg,APRL_001,Embroidered Kaftan Dress,traditional,,Adults,Free Size,Chiffon,Mid-Range,Top wear,"Smooth fabric, Sheer, Heavy embroidery, Beaded",Female,Dark Green,"Full sleeves, Batwing style","party, wedding, formal, festive, evening wear","rectangle, apple, pear, inverted triangle, hourglass","oval, round, heart, square","tan, olive, fair, light, dark","warm, neutral"
img_1506.jpg,APRL_001,Kaftan Dress,,,"Adults",N/A,Chiffon Blend,High-End,Full-length dress,"Smooth fabric, Embellished, Flowy",Female,"Pale Yellow, White, Gold, Silver",Full sleeves,"formal, party, wedding, festive, special occasion","hourglass, pear, rectangle, apple","oval, round, heart","tan, olive, fair, light, dark","warm, neutral"
img_1507.jpg,APRL_003,Button-down Maxi Abaya/Cardigan,modest fashion,,Adults,L,Cotton Blend,Mid-Range,Full-length Dress,"Smooth fabric, Contrast stitching, Buttons",Female,Light Grey,Full sleeves,"casual, daily wear, modest wear","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_1508.jpg,APRL_001,Embellished Anarkali Gown with Dupatta,Ethnic Gown,,Adults,Standard,"Georgette with sequin work and lining",Mid-Range,Gown,"Sequined, Flowy, Sheer (dupatta)",Female,Pink,Full sleeves,"Party, Wedding, Festive, Engagement, Reception","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_1509.jpg,APRL_003,Women's Abaya with Ruffle and Stud Detail,traditional,,Adults,L,Nida Fabric,Mid-Range,Full-Length Gown/Abaya,"Smooth fabric, Ruffles, Stud embellishments",Female,Black,"Full sleeves, Bell sleeves with stud detail","Daily wear, casual, formal, religious events","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_1510.jpg,APRL_003,Mens Kurta,traditional,,Adults,L,Cotton Blend,Mid-Range,Top wear,"Smooth fabric, subtle geometric pattern",Male,Purple,Full sleeves,"casual, party, wedding, formal, seasonal, festive","rectangle, inverted triangle, apple, pear, hourglass","oval, round, square, heart, diamond, rectangular","tan, olive, fair, light",cool
