img_1_1.jpg,APRL_001,Embroidered Kurta Set with Dupatta,traditional,provided_image_link,Adults,M,Cotton Blend,Mid-Range,"Top wear, Bottom wear, Dupatta","Smooth fabric, Embroidery, Textured weaving on dupatta",Female,Pink,Full sleeves,"casual, festive, party, seasonal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","neutral, cool, warm"
img_1_2.jpg,APRL_001,Embellished Velvet Long Robe,image.jpg,N/A,Adults,L,Velvet,High-Range,Dress/Robe,"Velvet, Embellished, Soft",Female,Emerald Green,Full sleeves,"formal, party, wedding, special occasions, festive","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_1_3.jpg,APRL_001,Men's Checked Casual Shirt,Casual,provided_image,Adults,M,Cotton Blend,Mid-Range,Top wear,"Smooth fabric, Plaid pattern",Male,"Dark Brown, Burgundy, Off-white, Light Red","Full sleeves (rolled to 3/4 length)","casual, daily wear, semi-formal, smart casual","rectangle, inverted triangle, apple, pear","oval, round, square, heart, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_1.jpg,APRL_003,Men's Sherwani Set,ethnic formal,N/A,Adults,L,"Silk Blend, Cotton Blend",High-Range,"Top wear, Bottom wear","Smooth fabric, Zig-zag pattern",Male,"White, Yellow",Full sleeves,"wedding, festive, party, ceremonial","rectangle, inverted triangle, apple, pear","oval, round, rectangular, square","fair, light, tan, olive","warm, neutral"
img_6.jpg,APRL_001,Women's Modest Swimsuit,full_image,N/A,Adults,Medium,Polyester Blend,Mid-Range,Full body wear,"Smooth fabric, Stretchy, Embroidery",Female,Maroon,Full sleeves,"Swimming, Beach, Water sports","rectangle, pear, apple, inverted triangle","oval, round, heart","ebony, dark, tan, olive, fair, light","warm, neutral"
img_8.jpg,APRL_001,Modest Jilbab with Niqab,main_image,N/A,Adults,Free Size,Polyester Blend,Mid-Range,Outerwear/Full Coverage,"Smooth, Flowing",Female,Dark Teal,Full sleeves,"Daily wear, Religious, Formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_10.jpg,APRL_001,Women's Sharara Suit,traditional,Adults,M,Faux Georgette Blend,"Mid-Range, High-Range","Top wear, Bottom wear","Smooth fabric, Embroidery, Zari, Sequins",Female,"Purple, Yellow, Pink, Green, Gold",Full sleeves,"Wedding, Festive, Party, Formal","hourglass, pear, rectangle, inverted triangle","oval, round, square, heart","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_12.jpg,APRL_001,Mens Thobe,traditional,,Adults,L,Cotton Blend,Mid-Range,Top wear,"Smooth fabric, Embroidery",Male,White,Half sleeves,"casual, religious, festive, formal, seasonal","rectangle, inverted triangle, apple, pear, hourglass","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_002,Mens Thobe,traditional,,Adults,L,Cotton Blend,Mid-Range,Top wear,"Smooth fabric, Embroidery",Male,Grey,Half sleeves,"casual, religious, festive, formal, seasonal","rectangle, inverted triangle, apple, pear, hourglass","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_13.jpg,APRL_001,Kaftan Dress,abstract_print,,Adults,M,Polyester Blend,Mid-Range,Dress,"Smooth fabric, Flowy",Female,"Orange, Purple, Yellow, White, Black, Green, Pink",Kimono sleeves,"casual, beachwear, resort wear, party","apple, rectangle, pear, hourglass","oval, round, square, heart","fair, light, tan, olive","neutral, warm, cool"
